release_year,album_type,album_name,track_name,bpm,number_of_streams,total_time_played,total_time_played_h,average_ms_played,average_ms_played_min,song_length_min,avg_percent_song_played
2018,Mini Album,I am NOT,3rd Eye,140,32,7554514,2:05:55,236078.56,3:56,4:03,97
2018,Mini Album,I am NOT,Awaken,164,33,6399256,1:46:39,193916.85,3:13,3:13,100
2018,Mini Album,I am NOT,District 9,90,151,32233152,8:57:13,213464.58,3:33,3:33,100
2018,Mini Album,I am NOT,Grow Up,174,23,4881245,1:21:21,212228.04,3:32,3:33,100
2018,Mini Album,I am NOT,Mirror,186,26,5329113,1:28:49,204965.88,3:25,3:42,92
2018,Mini Album,I am NOT,NOT!,170,9,741933,0:12:22,82437.00,1:22,1:22,100
2018,Mini Album,I am NOT,ROCK,142,33,6190148,1:43:10,187580.24,3:08,3:13,97
2018,Mini Album,I am WHO,Awkward Silence,200,21,4087608,1:08:08,194648.00,3:15,3:15,100
2018,Mini Album,I am WHO,Insomnia,168,33,6751584,1:52:32,204593.45,3:25,3:26,100
2018,Mini Album,I am WHO,M.I.A.,140,21,4436166,1:13:56,211246.00,3:31,3:31,100
2018,Mini Album,I am WHO,My Pace,155,131,23875443,6:37:55,182255.29,3:02,3:10,96
2018,Mini Album,I am WHO,Question,98,24,3921951,1:05:22,163414.63,2:43,3:04,89
2018,Mini Album,I am WHO,Voices,150,70,14097263,3:54:57,201389.47,3:21,3:22,100
2018,Mini Album,I am WHO,WHO?,85,9,944964,0:15:45,104996.00,1:44,1:44,100
2018,Mini Album,I am YOU,0325,170,32,6989242,1:56:29,218413.81,3:38,3:38,100
2018,Mini Album,I am YOU,Get Cool,152,21,4110102,1:08:30,195719.14,3:16,3:16,100
2018,Mini Album,I am YOU,Hero's Soup,172,9,1912338,0:31:52,212482.00,3:32,3:32,100
2018,Mini Album,I am YOU,I am YOU,145,22,4527071,1:15:27,205775.95,3:26,3:26,100
2018,Mini Album,I am YOU,My Side,166,32,6936241,1:55:36,216757.53,3:37,3:36,100
2018,Mini Album,I am YOU,N/S,130,33,7168302,1:59:28,217221.27,3:37,3:44,97
2018,Mini Album,I am YOU,YOU.,170,9,709506,0:11:50,78834.00,1:18,1:18,100
2018,Mini Album,Mixtape,4419,86,7,1351609,0:22:32,193087.00,3:13,3:13,100
2018,Mini Album,Mixtape,BEWARE,98,22,4189361,1:09:49,190425.50,3:10,3:10,100
2018,Mini Album,Mixtape,GLOW,90,7,1430415,0:23:50,204345.00,3:24,3:24,100
2018,Mini Album,Mixtape,Hellevator,78,70,16018915,4:26:59,228841.64,3:49,3:59,96
2018,Mini Album,Mixtape,School Life,130,7,1514639,0:25:15,216377.00,3:36,3:36,100
2018,Mini Album,Mixtape,Spread My Wings,140,23,4623216,1:17:03,201009.39,3:21,3:22,100
2018,Mini Album,Mixtape,YAYAYA,132,21,4246403,1:10:46,202209.67,3:22,3:22,100
2019,Mini Album,Cle - LEVANTER,Astronaut,120,20,3601060,1:00:01,180053.00,3:00,3:00,100
2019,Mini Album,Cle - LEVANTER,Booster,150,10,1987264,0:33:07,198726.40,3:19,3:40,90
2019,Mini Album,Cle - LEVANTER,Double Knot,147,20,3830940,1:03:51,191547.00,3:11,3:11,100
2019,Mini Album,Cle - LEVANTER,Levanter,150,21,4151847,1:09:12,197707.00,3:17,3:17,100
2019,Mini Album,Cle - LEVANTER,STOP,128,9,1705617,0:28:26,189513.00,3:09,3:09,100
2019,Mini Album,Cle - LEVANTER,Sunshine,143,9,2000556,0:33:21,222284.00,3:42,3:42,100
2019,Mini Album,Cle - LEVANTER,You Can STAY,95,10,2084440,0:34:44,208444.00,3:28,3:28,100
2019,Mini Album,Cle 1 - MIROH,19,105,21,4120510,1:08:41,196214.76,3:16,3:26,95
2019,Mini Album,Cle 1 - MIROH,Boxer,105,22,4076496,1:07:56,185295.27,3:05,3:22,92
2019,Mini Album,Cle 1 - MIROH,Chronosaurus,100,22,4320551,1:12:01,196388.68,3:16,3:20,98
2019,Mini Album,Cle 1 - MIROH,Entrance,106,9,888840,0:14:49,98760.00,1:38,1:38,100
2019,Mini Album,Cle 1 - MIROH,MIROH,126,128,25851807,7:10:52,201967.24,3:22,3:28,97
2019,Mini Album,Cle 1 - MIROH,Maze of Memories,129,32,5604857,1:33:25,175151.78,2:55,2:55,100
2019,Mini Album,Cle 1 - MIROH,Victory Song,103,68,13251897,3:40:52,194880.84,3:15,3:18,98
2019,Mini Album,Cle 2 - Yellow Wood,Mixtape#1,100,9,2276406,0:37:56,252934.00,4:13,4:12,100
2019,Mini Album,Cle 2 - Yellow Wood,Mixtape#2,174,9,2626605,0:43:47,291845.00,4:52,4:51,100
2019,Mini Album,Cle 2 - Yellow Wood,Mixtape#3,114,9,2320686,0:38:41,257854.00,4:18,4:17,100
2019,Mini Album,Cle 2 - Yellow Wood,Mixtape#4,98,9,2083167,0:34:43,231463.00,3:51,3:51,100
2019,Mini Album,Cle 2 - Yellow Wood,Road Not Taken,128,10,956671,0:15:57,95667.10,1:35,1:35,100
2019,Mini Album,Cle 2 - Yellow Wood,Side Effects,97,21,4009005,1:06:49,190905.00,3:11,3:15,98
2019,Mini Album,Cle 2 - Yellow Wood,TMT,132,20,4165744,1:09:26,208287.20,3:28,3:29,100
